epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.4692,2.50683,4.00349,1.66081,0.00749,0.1717,0.01044,0.00456,2.42684,3.61621,1.40298,0.069031,3.1e-05,3.1e-05
2,15.6742,2.36085,3.6189,1.50808,0.00772,0.16288,0.01162,0.00552,2.35778,3.33669,1.39701,0.0370626,6.25842e-05,6.25842e-05
3,23.1328,2.28985,3.36117,1.44589,0.02736,0.23005,0.04591,0.02077,2.25375,3.2546,1.37556,0.00509375,9.3746e-05,9.3746e-05
4,30.525,2.26417,3.21142,1.40578,0.04167,0.27455,0.07867,0.03551,2.2148,3.10072,1.3719,9.802e-05,9.802e-05,9.802e-05
5,38.1984,2.24357,3.05299,1.37423,0.04938,0.29216,0.10562,0.04814,2.21792,2.85561,1.37049,9.736e-05,9.736e-05,9.736e-05
6,45.5132,2.24685,2.82474,1.3613,0.05373,0.28684,0.12216,0.05451,2.21798,2.51357,1.37807,9.67e-05,9.67e-05,9.67e-05
7,52.5909,2.22822,2.56199,1.34811,0.69858,0.133,0.1291,0.05715,2.23464,2.12852,1.39184,9.604e-05,9.604e-05,9.604e-05
8,59.5183,2.25392,2.29015,1.36721,0.68372,0.16538,0.13446,0.059,2.24968,1.9194,1.40016,9.538e-05,9.538e-05,9.538e-05
9,66.8489,2.2487,2.05001,1.33136,0.70157,0.17404,0.15365,0.06972,2.25601,1.87484,1.39736,9.472e-05,9.472e-05,9.472e-05
10,73.9651,2.27082,1.92437,1.3458,0.72951,0.17666,0.17794,0.07947,2.23929,1.70924,1.38766,9.406e-05,9.406e-05,9.406e-05
11,80.9765,2.23766,1.82354,1.34655,0.75724,0.18391,0.20342,0.09297,2.216,1.58812,1.38147,9.34e-05,9.34e-05,9.34e-05
12,88.0003,2.2251,1.72978,1.31997,0.77306,0.1883,0.21554,0.09949,2.20524,1.53938,1.37144,9.274e-05,9.274e-05,9.274e-05
13,94.9661,2.22148,1.67277,1.31163,0.77572,0.19754,0.22695,0.10594,2.19557,1.50168,1.36629,9.208e-05,9.208e-05,9.208e-05
14,101.876,2.20827,1.64451,1.32288,0.77922,0.20282,0.23198,0.10822,2.18548,1.46708,1.36102,9.142e-05,9.142e-05,9.142e-05
15,108.791,2.19571,1.61073,1.31346,0.78396,0.20526,0.23953,0.11224,2.1797,1.44844,1.35525,9.076e-05,9.076e-05,9.076e-05
16,115.72,2.19295,1.58305,1.30052,0.79081,0.20716,0.24551,0.11468,2.17478,1.43244,1.35241,9.01e-05,9.01e-05,9.01e-05
17,122.662,2.14931,1.54368,1.28838,0.79677,0.21192,0.25863,0.12225,2.16332,1.41066,1.34911,8.944e-05,8.944e-05,8.944e-05
18,129.798,2.1607,1.53864,1.31518,0.55531,0.21161,0.26752,0.12636,2.15132,1.37655,1.3464,8.878e-05,8.878e-05,8.878e-05
19,136.712,2.17579,1.51101,1.29635,0.56053,0.20966,0.2718,0.1288,2.1571,1.36791,1.34348,8.812e-05,8.812e-05,8.812e-05
20,143.687,2.17985,1.47931,1.30557,0.6658,0.21572,0.28411,0.13598,2.14233,1.34329,1.34195,8.746e-05,8.746e-05,8.746e-05
21,150.584,2.14471,1.45961,1.29786,0.58113,0.23777,0.29462,0.13986,2.1379,1.32044,1.33991,8.68e-05,8.68e-05,8.68e-05
22,157.586,2.14711,1.44528,1.28494,0.53768,0.2387,0.30264,0.14397,2.13855,1.31049,1.33819,8.614e-05,8.614e-05,8.614e-05
23,164.437,2.14899,1.44983,1.28053,0.40263,0.33365,0.31123,0.14908,2.12927,1.30373,1.33472,8.548e-05,8.548e-05,8.548e-05
24,171.293,2.12385,1.42338,1.28272,0.44495,0.34498,0.32229,0.1546,2.12088,1.28922,1.33163,8.482e-05,8.482e-05,8.482e-05
25,178.197,2.10194,1.39876,1.27212,0.47122,0.34477,0.32638,0.15719,2.1183,1.27287,1.33194,8.416e-05,8.416e-05,8.416e-05
26,185.137,2.14406,1.41306,1.28049,0.49729,0.34018,0.33304,0.16101,2.11474,1.26016,1.32986,8.35e-05,8.35e-05,8.35e-05
27,192.147,2.11818,1.3769,1.27034,0.51648,0.33315,0.3371,0.16392,2.11612,1.25154,1.32948,8.284e-05,8.284e-05,8.284e-05
28,199.114,2.12485,1.36568,1.26505,0.52233,0.33733,0.34157,0.16559,2.11137,1.23652,1.32944,8.218e-05,8.218e-05,8.218e-05
29,205.979,2.12611,1.35062,1.28367,0.50892,0.34943,0.3434,0.16716,2.11137,1.23306,1.32806,8.152e-05,8.152e-05,8.152e-05
30,212.938,2.12816,1.35624,1.28114,0.53042,0.33566,0.34659,0.16992,2.10856,1.22937,1.32515,8.086e-05,8.086e-05,8.086e-05
31,219.876,2.09826,1.3418,1.26141,0.54911,0.34345,0.34925,0.17091,2.11377,1.23124,1.32572,8.02e-05,8.02e-05,8.02e-05
32,226.782,2.08174,1.33687,1.2793,0.54071,0.34537,0.35572,0.17512,2.1014,1.21358,1.32407,7.954e-05,7.954e-05,7.954e-05
33,233.777,2.10511,1.33137,1.26668,0.52893,0.35028,0.35453,0.17469,2.11315,1.2141,1.32366,7.888e-05,7.888e-05,7.888e-05
34,240.778,2.09918,1.32277,1.26003,0.54629,0.34828,0.35847,0.17607,2.10268,1.20336,1.32196,7.822e-05,7.822e-05,7.822e-05
35,247.744,2.07052,1.29576,1.25251,0.55916,0.34306,0.36042,0.17699,2.09799,1.19447,1.32013,7.756e-05,7.756e-05,7.756e-05
36,254.758,2.09106,1.30178,1.25494,0.55519,0.34679,0.36343,0.17795,2.09647,1.19209,1.31954,7.69e-05,7.69e-05,7.69e-05
37,261.699,2.10189,1.30781,1.26033,0.56249,0.34493,0.3648,0.17989,2.09489,1.1879,1.31953,7.624e-05,7.624e-05,7.624e-05
38,268.582,2.06714,1.29643,1.2648,0.55392,0.35378,0.36681,0.18095,2.09203,1.1853,1.31884,7.558e-05,7.558e-05,7.558e-05
39,275.719,2.08924,1.29695,1.2592,0.54009,0.35631,0.36561,0.18062,2.09306,1.1835,1.31695,7.492e-05,7.492e-05,7.492e-05
40,283.008,2.07174,1.29347,1.26711,0.55091,0.35852,0.36947,0.18092,2.08339,1.17628,1.31518,7.426e-05,7.426e-05,7.426e-05
41,290.146,2.0734,1.26732,1.26476,0.52964,0.37082,0.37007,0.18148,2.08637,1.17288,1.31469,7.36e-05,7.36e-05,7.36e-05
42,297.181,2.09644,1.28738,1.26476,0.51054,0.37777,0.36882,0.18205,2.09129,1.1733,1.3149,7.294e-05,7.294e-05,7.294e-05
43,304.204,2.06981,1.28511,1.26264,0.54318,0.36927,0.37153,0.18346,2.08258,1.16768,1.31255,7.228e-05,7.228e-05,7.228e-05
44,311.331,2.10312,1.27028,1.27342,0.55918,0.36573,0.3706,0.18245,2.08972,1.17101,1.31397,7.162e-05,7.162e-05,7.162e-05
45,318.356,2.10719,1.28026,1.27212,0.54733,0.36974,0.37256,0.18288,2.08622,1.16611,1.31314,7.096e-05,7.096e-05,7.096e-05
46,325.198,2.08808,1.2698,1.26713,0.54736,0.36091,0.37368,0.18284,2.083,1.1633,1.31287,7.03e-05,7.03e-05,7.03e-05
47,332.11,2.0681,1.25139,1.25112,0.55879,0.36341,0.37567,0.18377,2.07272,1.15599,1.31013,6.964e-05,6.964e-05,6.964e-05
48,339.026,2.07844,1.25137,1.26176,0.56891,0.36145,0.37838,0.18562,2.06897,1.14907,1.31055,6.898e-05,6.898e-05,6.898e-05
49,346.027,2.06653,1.24758,1.25171,0.58444,0.35912,0.38027,0.18703,2.07536,1.15207,1.30936,6.832e-05,6.832e-05,6.832e-05
50,353.051,2.06662,1.25412,1.25883,0.57189,0.36512,0.38097,0.18707,2.0712,1.14916,1.30848,6.766e-05,6.766e-05,6.766e-05
51,360.014,2.09671,1.25394,1.25299,0.59028,0.35722,0.38173,0.18687,2.07367,1.15069,1.30695,6.7e-05,6.7e-05,6.7e-05
52,366.986,2.06232,1.25574,1.2777,0.58924,0.35658,0.38323,0.18865,2.06651,1.14749,1.30569,6.634e-05,6.634e-05,6.634e-05
53,373.978,2.07533,1.25494,1.26996,0.58687,0.3583,0.38042,0.18688,2.07122,1.14691,1.30618,6.568e-05,6.568e-05,6.568e-05
54,380.92,2.05654,1.24409,1.25649,0.58601,0.36003,0.37874,0.18488,2.07312,1.14892,1.30682,6.502e-05,6.502e-05,6.502e-05
55,387.935,2.06385,1.24557,1.24412,0.59084,0.36034,0.38282,0.1873,2.06642,1.14358,1.30575,6.436e-05,6.436e-05,6.436e-05
56,394.854,2.06492,1.2377,1.25791,0.58619,0.36126,0.38185,0.18629,2.07292,1.14229,1.30694,6.37e-05,6.37e-05,6.37e-05
57,401.925,2.03593,1.22874,1.23856,0.5771,0.36327,0.38319,0.18785,2.06294,1.1349,1.30492,6.304e-05,6.304e-05,6.304e-05
58,409.05,2.05821,1.23463,1.24236,0.57947,0.36542,0.3835,0.18719,2.07004,1.13567,1.30495,6.238e-05,6.238e-05,6.238e-05
59,416.131,2.05154,1.23696,1.24253,0.57584,0.36253,0.38457,0.18736,2.06546,1.13412,1.30405,6.172e-05,6.172e-05,6.172e-05
60,423.147,2.03389,1.22585,1.24226,0.58712,0.35891,0.38525,0.18729,2.06438,1.13346,1.30409,6.106e-05,6.106e-05,6.106e-05
61,430.183,2.03955,1.23219,1.24718,0.57991,0.36097,0.38631,0.1882,2.06231,1.12954,1.30392,6.04e-05,6.04e-05,6.04e-05
62,437.174,2.08296,1.23785,1.25936,0.6075,0.35812,0.3864,0.18765,2.06661,1.1321,1.30337,5.974e-05,5.974e-05,5.974e-05
63,444.127,2.07041,1.23171,1.25377,0.59018,0.36264,0.38566,0.18814,2.06136,1.12767,1.30241,5.908e-05,5.908e-05,5.908e-05
64,450.994,2.04319,1.22464,1.25109,0.5757,0.36803,0.38734,0.1891,2.05722,1.1238,1.30186,5.842e-05,5.842e-05,5.842e-05
65,457.875,2.04763,1.23419,1.2584,0.55182,0.37423,0.38769,0.18945,2.05296,1.12137,1.30104,5.776e-05,5.776e-05,5.776e-05
66,464.814,2.04811,1.21625,1.24473,0.56526,0.36848,0.38633,0.18767,2.06593,1.12661,1.30193,5.71e-05,5.71e-05,5.71e-05
67,471.765,2.04409,1.22337,1.24693,0.55947,0.3712,0.38735,0.18866,2.05307,1.11932,1.29981,5.644e-05,5.644e-05,5.644e-05
68,478.663,2.05222,1.2071,1.23821,0.56106,0.37122,0.38499,0.18716,2.06031,1.12094,1.30045,5.578e-05,5.578e-05,5.578e-05
69,485.742,2.0272,1.21018,1.23207,0.54312,0.38062,0.38823,0.1883,2.0546,1.11699,1.29919,5.512e-05,5.512e-05,5.512e-05
70,493.01,2.06611,1.21876,1.2544,0.54103,0.38101,0.38681,0.18736,2.0565,1.11769,1.29944,5.446e-05,5.446e-05,5.446e-05
71,500.006,2.0433,1.2148,1.24801,0.54487,0.38503,0.3873,0.18778,2.05293,1.11393,1.2988,5.38e-05,5.38e-05,5.38e-05
72,507.114,2.03367,1.20394,1.24898,0.54804,0.38381,0.38723,0.18746,2.05739,1.11475,1.29948,5.314e-05,5.314e-05,5.314e-05
73,514.201,2.02803,1.2089,1.23298,0.53977,0.38923,0.38826,0.18783,2.05522,1.11365,1.29825,5.248e-05,5.248e-05,5.248e-05
74,521.154,2.05684,1.21176,1.24606,0.54448,0.38125,0.38952,0.18787,2.05463,1.1121,1.29788,5.182e-05,5.182e-05,5.182e-05
75,528.129,2.03131,1.20907,1.23944,0.54369,0.38719,0.38845,0.18721,2.05022,1.10903,1.29854,5.116e-05,5.116e-05,5.116e-05
76,535.418,2.04457,1.21216,1.24963,0.55023,0.37803,0.38996,0.18873,2.05128,1.11044,1.29752,5.05e-05,5.05e-05,5.05e-05
77,542.42,2.01634,1.20432,1.24226,0.54171,0.38437,0.38955,0.18783,2.05407,1.11263,1.29791,4.984e-05,4.984e-05,4.984e-05
78,549.451,2.04054,1.20241,1.23226,0.54485,0.38459,0.39006,0.18824,2.05614,1.11105,1.2987,4.918e-05,4.918e-05,4.918e-05
79,556.449,2.02739,1.20473,1.22902,0.53691,0.38878,0.38917,0.18812,2.05385,1.10772,1.29736,4.852e-05,4.852e-05,4.852e-05
80,563.404,2.02903,1.18637,1.23501,0.54287,0.3833,0.38823,0.18743,2.05034,1.1055,1.29691,4.786e-05,4.786e-05,4.786e-05
81,570.328,2.04626,1.19604,1.24605,0.53503,0.38108,0.38915,0.1874,2.05126,1.1026,1.29702,4.72e-05,4.72e-05,4.72e-05
82,577.078,2.0576,1.20914,1.24927,0.53885,0.38607,0.38798,0.18728,2.05261,1.10527,1.29583,4.654e-05,4.654e-05,4.654e-05
83,584.047,2.02905,1.19296,1.2363,0.54471,0.38795,0.38985,0.18806,2.05238,1.10701,1.29548,4.588e-05,4.588e-05,4.588e-05
84,590.997,2.0228,1.19883,1.24952,0.54503,0.38955,0.39066,0.19008,2.04463,1.10157,1.2937,4.522e-05,4.522e-05,4.522e-05
85,597.962,2.02827,1.20017,1.24128,0.53929,0.37948,0.3896,0.18938,2.0487,1.10233,1.29346,4.456e-05,4.456e-05,4.456e-05
86,605.038,2.03071,1.19186,1.23778,0.5477,0.37807,0.39061,0.18925,2.04913,1.1029,1.29382,4.39e-05,4.39e-05,4.39e-05
87,612.122,2.05541,1.20016,1.24363,0.53838,0.38158,0.39053,0.18919,2.04841,1.10157,1.29466,4.324e-05,4.324e-05,4.324e-05
88,619.06,2.05566,1.20705,1.24837,0.5525,0.37268,0.39022,0.18855,2.04898,1.09936,1.29416,4.258e-05,4.258e-05,4.258e-05
89,626.009,2.02347,1.20079,1.23424,0.55389,0.3718,0.39155,0.18961,2.04298,1.09776,1.29254,4.192e-05,4.192e-05,4.192e-05
90,633.058,2.02262,1.19128,1.23893,0.51127,0.39863,0.39314,0.1902,2.03985,1.09543,1.29271,4.126e-05,4.126e-05,4.126e-05
91,640.103,2.02418,1.17891,1.22433,0.57103,0.37231,0.39149,0.18909,2.05054,1.10012,1.2942,4.06e-05,4.06e-05,4.06e-05
92,646.94,2.01612,1.1866,1.23654,0.58552,0.36412,0.3944,0.19087,2.0419,1.09298,1.29332,3.994e-05,3.994e-05,3.994e-05
93,653.919,2.04635,1.19287,1.23262,0.58449,0.36893,0.39357,0.19123,2.0451,1.09324,1.29379,3.928e-05,3.928e-05,3.928e-05
94,660.921,2.02528,1.19132,1.23514,0.57561,0.36594,0.39452,0.1911,2.04427,1.09464,1.29225,3.862e-05,3.862e-05,3.862e-05
95,668.061,2.03727,1.1781,1.23686,0.57931,0.36284,0.39556,0.19197,2.04061,1.093,1.29102,3.796e-05,3.796e-05,3.796e-05
96,675.29,2.00874,1.17852,1.22585,0.58942,0.36505,0.39417,0.19219,2.0414,1.09152,1.2915,3.73e-05,3.73e-05,3.73e-05
97,682.376,2.02542,1.19874,1.23557,0.57873,0.36923,0.3935,0.19086,2.04515,1.09216,1.29232,3.664e-05,3.664e-05,3.664e-05
98,689.527,2.03217,1.18314,1.22393,0.57452,0.37201,0.39566,0.19161,2.04275,1.08874,1.2914,3.598e-05,3.598e-05,3.598e-05
99,696.635,2.01418,1.18493,1.24117,0.57893,0.36926,0.39547,0.19177,2.0392,1.08762,1.29018,3.532e-05,3.532e-05,3.532e-05
100,703.792,2.01971,1.17833,1.23298,0.5891,0.36665,0.39503,0.19113,2.0403,1.08927,1.28973,3.466e-05,3.466e-05,3.466e-05
101,710.991,2.02043,1.18182,1.22716,0.55267,0.37774,0.39531,0.19116,2.04227,1.09018,1.28962,3.4e-05,3.4e-05,3.4e-05
102,718.234,2.0231,1.18406,1.23447,0.50432,0.40866,0.39592,0.19198,2.03912,1.08829,1.28923,3.334e-05,3.334e-05,3.334e-05
103,725.233,2.02968,1.17645,1.24058,0.5399,0.38172,0.39594,0.19193,2.03939,1.08919,1.28937,3.268e-05,3.268e-05,3.268e-05
104,732.018,2.00046,1.17695,1.23988,0.52898,0.39011,0.39666,0.19154,2.03904,1.08856,1.2901,3.202e-05,3.202e-05,3.202e-05
105,738.977,2.01572,1.17523,1.23232,0.59477,0.36106,0.39743,0.19205,2.04116,1.089,1.29027,3.136e-05,3.136e-05,3.136e-05
106,745.885,2.02178,1.16969,1.23254,0.54232,0.38427,0.39533,0.18997,2.04575,1.08885,1.29011,3.07e-05,3.07e-05,3.07e-05
107,752.801,2.01349,1.18431,1.23607,0.54016,0.38636,0.39567,0.19071,2.04201,1.08592,1.28939,3.004e-05,3.004e-05,3.004e-05
108,759.696,2.03053,1.18469,1.23597,0.53696,0.38605,0.39743,0.19274,2.03759,1.08512,1.28914,2.938e-05,2.938e-05,2.938e-05
109,766.683,2.01226,1.17273,1.23923,0.5412,0.38442,0.39702,0.19207,2.0361,1.08478,1.28867,2.872e-05,2.872e-05,2.872e-05
110,773.571,2.03673,1.18018,1.23285,0.54498,0.3855,0.39593,0.19107,2.04254,1.08706,1.28926,2.806e-05,2.806e-05,2.806e-05
111,780.562,1.991,1.16547,1.20613,0.54028,0.38521,0.39709,0.19236,2.03757,1.08424,1.2882,2.74e-05,2.74e-05,2.74e-05
112,787.452,2.0037,1.16344,1.22736,0.51507,0.40805,0.397,0.19262,2.0359,1.08237,1.28861,2.674e-05,2.674e-05,2.674e-05
113,794.422,2.00092,1.16939,1.22311,0.52032,0.40927,0.39772,0.19258,2.03571,1.08361,1.28812,2.608e-05,2.608e-05,2.608e-05
114,801.427,2.00896,1.16213,1.23534,0.53212,0.40144,0.39741,0.19269,2.03515,1.08319,1.28767,2.542e-05,2.542e-05,2.542e-05
115,808.595,2.01553,1.1548,1.22513,0.54097,0.39042,0.39656,0.19264,2.03724,1.08227,1.28759,2.476e-05,2.476e-05,2.476e-05
116,815.503,2.01733,1.18268,1.24492,0.53952,0.3928,0.39715,0.19245,2.03887,1.08268,1.28881,2.41e-05,2.41e-05,2.41e-05
117,822.726,2.02516,1.17555,1.23988,0.53602,0.39504,0.39775,0.19271,2.03846,1.08318,1.28875,2.344e-05,2.344e-05,2.344e-05
118,829.76,2.01724,1.16817,1.23983,0.54218,0.39153,0.3966,0.19246,2.04092,1.08431,1.28891,2.278e-05,2.278e-05,2.278e-05
119,836.847,2.03095,1.17231,1.22991,0.54294,0.39063,0.39758,0.19284,2.03925,1.08242,1.28787,2.212e-05,2.212e-05,2.212e-05
120,843.804,2.01461,1.17059,1.22398,0.53833,0.39352,0.39847,0.19307,2.03787,1.08218,1.28721,2.146e-05,2.146e-05,2.146e-05
121,850.814,2.04869,1.18575,1.24225,0.54474,0.39252,0.39787,0.19308,2.03639,1.0821,1.28725,2.08e-05,2.08e-05,2.08e-05
122,858,1.99766,1.161,1.21665,0.54618,0.39222,0.39893,0.19309,2.0368,1.08246,1.28706,2.014e-05,2.014e-05,2.014e-05
123,865.127,2.02632,1.16359,1.23202,0.54148,0.40256,0.39913,0.19329,2.03835,1.08328,1.28731,1.948e-05,1.948e-05,1.948e-05
124,872.344,2.01253,1.17472,1.2337,0.54255,0.40136,0.40056,0.19407,2.03583,1.08197,1.28753,1.882e-05,1.882e-05,1.882e-05
125,879.413,2.01248,1.1729,1.22629,0.54453,0.39568,0.39958,0.194,2.03696,1.08106,1.28773,1.816e-05,1.816e-05,1.816e-05
126,886.414,2.01795,1.17555,1.23473,0.54067,0.3969,0.39957,0.19348,2.03637,1.08075,1.28742,1.75e-05,1.75e-05,1.75e-05
127,893.472,2.03758,1.18192,1.22949,0.54583,0.39675,0.39972,0.19361,2.03636,1.08031,1.28679,1.684e-05,1.684e-05,1.684e-05
128,900.444,2.02567,1.17193,1.23377,0.5443,0.39621,0.39956,0.19308,2.03722,1.08059,1.28673,1.618e-05,1.618e-05,1.618e-05
129,907.588,2.0107,1.16396,1.21981,0.54762,0.39344,0.40129,0.19485,2.03343,1.07895,1.28601,1.552e-05,1.552e-05,1.552e-05
130,914.688,2.00956,1.15919,1.22783,0.54915,0.39243,0.40191,0.19498,2.03289,1.07786,1.28589,1.486e-05,1.486e-05,1.486e-05
131,921.609,2.02225,1.17345,1.23639,0.54244,0.39512,0.40146,0.1941,2.03552,1.07893,1.28641,1.42e-05,1.42e-05,1.42e-05
132,928.504,2.0231,1.16832,1.2413,0.54413,0.39436,0.40083,0.19403,2.03521,1.07857,1.28653,1.354e-05,1.354e-05,1.354e-05
133,935.396,2.0232,1.16115,1.24314,0.54621,0.40115,0.40124,0.19442,2.03494,1.07901,1.2865,1.288e-05,1.288e-05,1.288e-05
134,942.317,2.013,1.16732,1.23429,0.54312,0.40127,0.40117,0.19473,2.03258,1.0778,1.28622,1.222e-05,1.222e-05,1.222e-05
135,949.267,2.01892,1.17127,1.23954,0.54316,0.39561,0.40113,0.19486,2.03328,1.07914,1.28647,1.156e-05,1.156e-05,1.156e-05
136,956.177,2.00346,1.16613,1.23159,0.54169,0.39616,0.40178,0.19508,2.03465,1.08035,1.28656,1.09e-05,1.09e-05,1.09e-05
137,963.123,2.01596,1.16382,1.21924,0.55427,0.39055,0.40147,0.1952,2.03535,1.07994,1.28634,1.024e-05,1.024e-05,1.024e-05
138,969.972,2.02281,1.17445,1.24435,0.54151,0.3945,0.40112,0.19487,2.03602,1.08037,1.28656,9.58e-06,9.58e-06,9.58e-06
139,976.995,2.02206,1.16581,1.2288,0.5542,0.38947,0.40207,0.19573,2.03424,1.07925,1.28602,8.92e-06,8.92e-06,8.92e-06
140,983.89,2.00022,1.16587,1.23106,0.55614,0.38676,0.40253,0.19569,2.03497,1.08008,1.28677,8.26e-06,8.26e-06,8.26e-06
141,1008.15,2.04039,1.24859,1.26999,0.51435,0.40245,0.39449,0.18897,2.03944,1.10207,1.28936,7.6e-06,7.6e-06,7.6e-06
142,1014.55,2.04066,1.23083,1.28401,0.49338,0.40251,0.39095,0.18681,2.04212,1.1184,1.29128,6.94e-06,6.94e-06,6.94e-06
143,1020.88,2.02884,1.22204,1.27687,0.5124,0.39164,0.38922,0.1859,2.0384,1.12039,1.29092,6.28e-06,6.28e-06,6.28e-06
144,1027.15,2.0417,1.23399,1.27579,0.51928,0.38284,0.38981,0.18672,2.03389,1.12057,1.2905,5.62e-06,5.62e-06,5.62e-06
145,1033.46,2.0395,1.21814,1.27776,0.5251,0.37339,0.39042,0.18678,2.03532,1.11848,1.29074,4.96e-06,4.96e-06,4.96e-06
146,1039.76,2.02469,1.21857,1.27431,0.50337,0.39079,0.3911,0.18723,2.03704,1.11914,1.29111,4.3e-06,4.3e-06,4.3e-06
147,1046.09,2.02555,1.20863,1.26632,0.52326,0.38466,0.39056,0.18758,2.03774,1.11849,1.29057,3.64e-06,3.64e-06,3.64e-06
148,1052.49,2.01994,1.201,1.27114,0.49801,0.39395,0.39128,0.18765,2.03717,1.11523,1.29028,2.98e-06,2.98e-06,2.98e-06
149,1058.86,2.02485,1.21518,1.27071,0.49106,0.39408,0.39119,0.18752,2.03707,1.11834,1.29066,2.32e-06,2.32e-06,2.32e-06
150,1065.3,2.02799,1.20103,1.27508,0.54066,0.37921,0.39136,0.18778,2.03696,1.11898,1.29009,1.66e-06,1.66e-06,1.66e-06
